q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00011_00_00001_av_ave.h5_00001_[NS11_25C]_trm=0.873101	error
1.56522363e-01	4.82847303e-01	3.35578993e-03
1.56983420e-01	4.77354378e-01	3.33731179e-03
1.57444477e-01	4.79553312e-01	3.34138563e-03
1.57905519e-01	4.72803921e-01	3.32137011e-03
1.58366576e-01	4.68303680e-01	3.30524007e-03
1.58827633e-01	4.68966961e-01	3.29865888e-03
1.59288689e-01	4.66761738e-01	3.28775495e-03
1.59749746e-01	4.67226207e-01	3.28619219e-03
1.60210803e-01	4.64758158e-01	3.27888946e-03
1.60671860e-01	4.62734461e-01	3.26766213e-03
1.61132902e-01	4.67307866e-01	3.27622937e-03
1.61593959e-01	4.60606247e-01	3.25368415e-03
1.62055016e-01	4.60173547e-01	3.25155072e-03
1.62516072e-01	4.56927836e-01	3.23680229e-03
1.62977129e-01	4.51600492e-01	3.21558630e-03
1.63438186e-01	4.54759359e-01	3.22141615e-03
1.63899228e-01	4.53730196e-01	3.21414135e-03
1.64360285e-01	4.50864017e-01	3.20312567e-03
1.64821342e-01	4.49207932e-01	3.19240382e-03
1.65282398e-01	4.49892670e-01	3.19264387e-03
1.65743455e-01	4.45598453e-01	3.17487633e-03
1.66204512e-01	4.47022527e-01	3.17335618e-03
1.66665554e-01	4.50208664e-01	3.17619182e-03
1.67126611e-01	4.46092784e-01	3.16063873e-03
1.67587668e-01	4.41488177e-01	3.14595434e-03
1.68048725e-01	4.41885471e-01	3.14415735e-03
1.68509781e-01	4.40147400e-01	3.13404831e-03
1.68970838e-01	4.41307545e-01	3.13188694e-03
1.69431880e-01	4.42346722e-01	3.13372654e-03
1.69892937e-01	4.36443478e-01	3.11209331e-03
1.70353994e-01	4.37127173e-01	3.11112381e-03
1.70815051e-01	4.35527474e-01	3.09886038e-03
1.71276107e-01	4.37337309e-01	3.10102711e-03
1.71737164e-01	4.30167913e-01	3.07831098e-03
1.72198206e-01	4.28685427e-01	3.07194935e-03
1.72659263e-01	4.24472660e-01	3.05546122e-03
1.73120320e-01	4.25082266e-01	3.05410661e-03
1.73581377e-01	4.24497455e-01	3.04968981e-03
1.74042434e-01	4.22075212e-01	3.03660473e-03
1.74503490e-01	4.19957787e-01	3.02141206e-03
1.74964547e-01	4.24450338e-01	3.02988826e-03
1.75425589e-01	4.20757920e-01	3.01365042e-03
1.75886646e-01	4.18763459e-01	3.00785690e-03
1.76347703e-01	4.18669522e-01	3.00427247e-03
1.76808760e-01	4.17911053e-01	2.99544353e-03
1.77269816e-01	4.14067835e-01	2.98350165e-03
1.77730873e-01	4.08633232e-01	2.96620373e-03
1.78191915e-01	4.11451817e-01	2.96960957e-03
1.78652972e-01	4.10166562e-01	2.95953592e-03
1.79114029e-01	4.10697371e-01	2.95790192e-03
1.79575086e-01	4.07523632e-01	2.94681289e-03
1.80036142e-01	4.01231110e-01	2.92452681e-03
1.80497199e-01	4.00470734e-01	2.92037101e-03
1.80958241e-01	4.02588278e-01	2.92689959e-03
1.81419298e-01	3.96728337e-01	2.90090567e-03
1.81880355e-01	3.99781764e-01	2.90993764e-03
1.82341412e-01	3.94663900e-01	2.89276964e-03
1.82802469e-01	3.93449485e-01	2.88544595e-03
1.83263525e-01	3.90959382e-01	2.87618977e-03
1.83724567e-01	3.90756428e-01	2.87081441e-03
1.84185624e-01	3.87904823e-01	2.85801641e-03
1.84646681e-01	3.86237353e-01	2.85242544e-03
1.85107738e-01	3.84522438e-01	2.84697860e-03
1.85568795e-01	3.80402863e-01	2.82853306e-03
1.86029851e-01	3.83937746e-01	2.83521018e-03
1.86490893e-01	3.82452428e-01	2.82662036e-03
1.86951950e-01	3.82906586e-01	2.82268669e-03
1.87413007e-01	3.84076178e-01	2.82515283e-03
1.87874064e-01	3.79187346e-01	2.80672195e-03
1.88335121e-01	3.76973599e-01	2.79572653e-03
1.88796178e-01	3.72898668e-01	2.78179720e-03
1.89257234e-01	3.74413848e-01	2.78360513e-03
1.89718276e-01	3.71349245e-01	2.77091889e-03
1.90179333e-01	3.69770467e-01	2.76618940e-03
1.90640390e-01	3.67256761e-01	2.75243679e-03
1.91101447e-01	3.69648010e-01	2.75478745e-03
1.91562504e-01	3.67390811e-01	2.74765585e-03
1.92023560e-01	3.59541982e-01	2.72449246e-03
1.92484602e-01	3.60968828e-01	2.72594811e-03
1.92945659e-01	3.63578498e-01	2.72945547e-03
1.93406716e-01	3.59528929e-01	2.71251425e-03
1.93867773e-01	3.59838247e-01	2.71212147e-03
1.94328830e-01	3.57940972e-01	2.70332024e-03
1.94789886e-01	3.59225899e-01	2.70638312e-03
1.95250928e-01	3.56316745e-01	2.69425707e-03
1.95711985e-01	3.55708539e-01	2.68952688e-03
